Batch,FieldID,Distance,PlantID,LocationDensity,RepStage,Date,LeafN
1,D01,Close,D01_T1_05,plug,late,1/28/20,4
1,D14,Close,D14_B_32,plug,late,1/28/20,4
2,D16,Middle,D16_T1_12,plug,late,10/12/20,4
1,D01,Close,D01_B_04,plug,late,1/28/20,6
1,D14,Close,D14_B_31,plug,late,1/28/20,6
2,D16,Middle,D16_B_03,plug,late,9/28/20,6
2,D17,Close,D17_B_21,plug,late,11/4/20,6
1,D01,Close,D01_B_01,plug,late,1/28/20,7
2,D19,Middle,D19_B_05,plug,late,11/11/20,7
1,D01,Close,D01_T1_03,plug,late,1/28/20,8
2,D17,Close,D17_B_46,plug,late,11/4/20,8
2,D22,Far,D22_T2_06,tray,late,3/11/21,8
1,D13,Middle,D13_T1_07,plug,late,1/3/20,9
2,D21,Far,D21_T2_02,plug,late,8/31/20,9
2,D22,Far,D22_T1_17,tray,late,6/11/20,9
1,D01,Close,D01_T1_09,plug,late,1/28/20,10
1,D14,Close,D14_B_29,plug,late,1/28/20,10
2,D16,Middle,D16_B_04,plug,late,9/28/20,10
2,D17,Close,D17_B_14,plug,late,11/4/20,10
2,D19,Middle,D19_B_03,plug,late,11/11/20,10
2,D23,Close,D23_B_07,plug,late,9/30/20,10
2,D24,Middle,D24_B_01,plug,early,11/4/20,10
2,D28,Close,D28_B_06,plug,late,7/1/20,10
1,D02,Middle,D02_B_05,plug,late,1/3/20,11
1,D06,Close,D06_T2_13,tray,late,1/13/20,11
2,D16,Middle,D16_T1_09,plug,late,10/12/20,11
2,D23,Close,D23_B_03,plug,late,8/13/20,11
2,D27,Middle,D27_B_08,plug,late,9/9/20,11
1,D06,Close,D06_T2_12,tray,late,1/13/20,12
1,D12,Close,D12_B_07,plug,late,1/15/20,12
1,D13,Middle,D13_T1_13,plug,late,1/3/20,12
2,D18,Close,D18_B_09,plug,late,10/20/20,12
2,D23,Close,D23_B_10,plug,late,9/30/20,12
2,D25,Close,D25_B_02,plug,early,9/24/20,12
