trap,x,y,athaliana
D01,2.607973302,12.51714503,26
D02,3.359814806,12.51714503,44
D03,3.96687602,12.51714503,142
D04,4.563777214,11.80594361,186
D05,4.563777214,11.04394209,98
D06,4.563777214,10.42164084,263
D07,2.978814806,10.95650081,28
D08,0.749302261,9.530097064,27
D09,0,9.634239268,338
D10,0,8.821437643,95
D11,0,7.957835916,321
D12,0.30480061,7.627635255,56
D13,1.130302261,7.627635255,52
D14,1.854203708,7.627635255,136
D15,2.403567676,4.973329947,101
D16,2.987768848,4.973329947,69
D17,3.533869937,4.973329947,195
D18,4.100291073,4.419608839,161
D19,4.100291073,3.830327661,100
D20,4.100291073,3.108966218,306
D21,2.649605263,3.27928028,22
D22,1.003302007,1.790368486,265
D23,0,1.833883668,93
D24,0,0.9499619,79
D25,0,0.233680467,47
D26,0.381000762,0,63
D27,1.003302007,0,97
D28,1.612903226,0,67
