FieldID,Distance,PlantID,LocationDensity,DateCollected,DateCounted,DateWeighed,DataCollector,SeedWeight
D01,Close,D01_T1_03,plug,3/27/20,NA,2021,XH,2.338
D01,Close,D01_T1_01,plug,3/27/20,NA,2/3/22,EG,1.172
D01,Close,D01_B_04,plug,2/19/20,11/17/20,2/7/22,DW,1.408
D01,Close,D01_B_02,plug,3/27/20,11/17/20,2/7/22,DW,1.526
D02,Middle,D02_B_04,plug,9/11/20,NA,10/27/20,YE,1.52
D02,Middle,D02_T1_07,plug,1/3/20,NA,9/1/21,CF,1.112
D02,Middle,D02_B_07,plug,1/3/20,NA,9/1/21,CF,1.932
D02,Middle,D02_B_06,plug,9/11/20,NA,9/2/21,XH,1.492
D02,Middle,D02_B_02,plug,9/11/20,NA,9/2/21,XH,1.964
D02,Middle,D02_T1_03,plug,9/10/20,NA,9/3/21,JP,1.392
D02,Middle,D02_T1_01,plug,9/10/20,NA,9/3/21,JP,1.66
D02,Middle,D02_T1_06,plug,9/10/20,NA,9/3/21,JP,1.853
D02,Middle,D02_B_03,plug,9/11/20,11/17/20,2/7/22,DW,2.021
D05,Middle,D05_T1_08,plug,9/11/20,NA,2021,XH,1.484
D05,Middle,D05_T1_07,plug,9/11/20,NA,11/9/20,PI,1.32
D05,Middle,D05_T1_24,plug,9/11/20,NA,9/2/21,XH,1.772
D05,Middle,D05_T1_35,plug,9/11/20,NA,9/3/21,JP,1.186
D05,Middle,D05_T1_09,plug,9/11/20,NA,9/3/21,JP,1.82
D05,Middle,D05_T1_16,plug,9/11/20,11/17/20,2/8/22,CF,1.334
D05,Middle,D05_T1_15,plug,9/11/20,11/17/20,2/8/22,CF,1.548
D05,Middle,D05_T2_Tray_01,tray,3/11/20,NA,10/13/20,YE,1.23
D05,Middle,D05_T2_Tray_05,tray,3/11/20,NA,2/8/22,CF,1.494
D07,Far,D07_T2_02,plug,3/3/20,NA,09/29/20,YE,1.18
D07,Far,D07_T1_01,plug,3/4/20,NA,09/29/20,YE,1.28
D07,Far,D07_B_05,plug,3/3/20,NA,09/29/20,YE,1.53
D07,Far,D07_B_11,plug,3/3/20,NA,10/13/20,YE,1.45
D07,Far,D07_B_03,plug,2/26/20,NA,10/13/20,YE,1.57
D07,Far,D07_T1_02,plug,3/4/20,NA,10/13/20,YE,1.72
D07,Far,D07_T2_03,plug,3/3/20,NA,10/13/20,BQ,1.97
D07,Far,D07_T2_05,plug,3/3/20,NA,10/19/20,PI,2.16
D07,Far,D07_B_08,plug,1/15/20,NA,9/1/21,CF,1.41
D07,Far,D07_B_04,plug,1/15/20,NA,9/1/21,CF,1.48
D07,Far,D07_B_07,plug,1/15/20,NA,9/1/21,CF,1.644
D07,Far,D07_T1_04,plug,3/4/20,11/17/20,2/8/22,CF,1.906
D07,Far,D07_T2_Tray_03,tray,3/4/20,NA,9/29/20,YE,1.49
D07,Far,D07_T2_Tray_04,tray,3/11/20,NA,10/26/20,PI,0.88
D07,Far,D07_T2_Tray_01,tray,3/4/20,NA,11/9/20,BQ,1.35
D07,Far,D07_T2_Tray_02,tray,3/4/20,NA,11/10/20,YE,1.72
D08,Far,D08_T2_01,plug,7/28/20,NA,11/10/20,YE,1.68
D08,Far,D08_T2_05,plug,7/28/20,NA,9/2/21,XH,1.816
D08,Far,D08_T1_04,plug,8/27/20,NA,9/3/21,JP,1.488
D08,Far,D08_T1_05,plug,8/27/20,NA,9/3/21,JP,1.706
D08,Far,D08_T1_09,plug,7/28/20,NA,2/3/22,EG,1.326
D10,Middle,D10_T1_17,plug,8/28/20,NA,10/06/20,YE,0.79
D10,Middle,D10_T1_14,plug,8/28/20,NA,10/13/20,YE,1.57
D10,Middle,D10_T2_17,plug,8/28/20,NA,10/26/2020,PI,1.886
D10,Middle,D10_T2_18,plug,8/27/20,NA,9/2/21,XH,1.518
D10,Middle,D10_T2_12,plug,8/27/20,NA,9/2/21,XH,1.75
D10,Middle,D10_T2_15,plug,8/27/20,NA,9/2/21,XH,2.144
D10,Middle,D10_T1_13,plug,8/28/20,NA,9/3/21,JP,1.248
D10,Middle,D10_T2_16,plug,8/28/20,NA,9/3/21,JP,1.75
D10,Middle,D10_T2_14,plug,8/27/20,NA,9/3/21,JP,1.922
D10,Middle,D10_T1_Tray_05,tray,3/11/20,NA,10/19/20,PI,1.75
D10,Middle,D10_T1_Tray_04,tray,3/4/20,NA,10/27/20,YE,1.1
D11,Close,D11_T2_16,plug,3/3/20,NA,09/29/20,YE,1.74
D11,Close,D11_T2_23,plug,3/3/20,NA,10/06/20,YE,1.36
D11,Close,D11_T2_21,plug,3/3/20,NA,10/06/20,YE,1.4
D11,Close,D11_T2_19,plug,3/3/20,NA,10/06/20,YE,2.12
D11,Close,D11_T1_41,plug,2/26/20,NA,10/13/20,BQ,1.43
D11,Close,D11_T1_40,plug,2/26/20,NA,10/19/20,PI,1.4
D11,Close,D11_T2_87,plug,2/26/20,NA,10/26/20,PI,1.1
D12,Close,D12_B_10,plug,2/19/20,NA,2021,XH,2.464
D12,Close,D12_B_08,plug,2/19/20,NA,10/06/20,YE,1.54
D12,Close,D12_B_01,plug,2/25/20,NA,10/27/20,YE,1.82
D12,Close,D12_B_03,plug,2/25/20,NA,11/10,BQ,1.6
D12,Close,D12_B_11,plug,2/19/20,NA,2/3/22,EG,1.688
D12,Close,D12_B_06,plug,2/19/20,11/17/20,2/8/22,CF,1.336
D12,Close,D12_B_02,plug,2/25/20,11/17/20,2/8/22,CF,2.15
D12,Close,D12_B_04,plug,2/25/20,11/17/20,2/8/22,CF,2.256
D13,Middle,D13_T1_06,plug,9/3/20,NA,2021,XH,1.464
D13,Middle,D13_T1_01,plug,8/28/20,NA,10/13/20,YE,1.43
D13,Middle,D13_T2_13,plug,1/3/20,NA,9/1/21,DW,1.394
D13,Middle,D13_T1_07,plug,1/3/20,NA,9/1/21,CF,1.752
D13,Middle,D13_T2_01,plug,9/10/20,NA,9/2/21,XH,1.896
D13,Middle,D13_T2_06,plug,9/3/20,NA,9/3/21,JP,1.85
D13,Middle,D13_T2_03,plug,9/10/20,NA,9/3/21,JP,1.902
D13,Middle,D13_T1_13,plug,9/3/20,11/17/20,2/7/22,DW,2.224
