FieldID,Block,Distance,TOTAL,Area,Density
D01,1,Close,26,0.2129028,122.1214564
D02,1,Middle,44,0.2129028,206.66708
D03,1,Close,142,0.1322578,1073.660684
D04,1,Close,186,0.2129028,873.6381109
D05,1,Middle,98,0.2129028,460.3039509
D06,1,Close,263,0.1322578,1988.540562
D07,1,Far,28,0.2129028,131.5154145
D08,2,Far,27,0.2129028,126.8184355
D09,2,Close,338,0.1322578,2555.614867
D10,2,Middle,95,0.2129028,446.2130136
D11,2,Close,321,0.2129028,1507.730288
D12,2,Close,56,0.2129028,263.0308291
D13,2,Middle,52,0.2129028,244.2429127
D14,2,Close,136,0.1322578,1028.29474
D15,3,Close,101,0.2129028,474.3948882
D16,3,Middle,69,0.2129028,324.0915573
D17,3,Close,195,0.2129028,915.9109227
D18,3,Close,161,0.2129028,756.2136336
D19,3,Middle,100,0.2129028,469.6979091
D20,3,Close,306,0.2129028,1437.275602
D21,3,Far,22,0.2129028,103.33354
D22,4,Far,265,0.2129028,1244.699459
D23,4,Close,93,0.2129028,436.8190555
D24,4,Middle,79,0.2129028,371.0613482
D25,4,Close,47,0.2129028,220.7580173
D26,4,Close,63,0.2129028,295.9096827
D27,4,Middle,97,0.2129028,455.6069718
D28,4,Close,67,0.2129028,314.6975991
