FieldID,CagedTrt,Year,CensusN,Date,PFSeedlingN,PFRosetteN,PFBolting,PFFlowering,PFFruiting,PFTotal
E01,Caged,1,1.09,2/12/18,9,199,0,0,0,208
E02,Open,1,1.09,2/12/18,7,235,0,0,0,242
E03,Open,1,1.09,2/12/18,6,162,0,0,0,168
E04,Open,1,1.09,2/12/18,6,180,0,0,0,186
E05,Caged,1,1.09,2/12/18,2,189,2,0,0,193
E06,Open,1,1.09,2/12/18,5,144,0,0,0,149
E07,Open,1,1.09,2/12/18,5,290,5,0,0,300
E08,Open,1,1.09,2/12/18,6,289,12,0,0,307
E09,Caged,1,1.09,2/12/18,9,251,2,0,0,262
E10,Caged,1,1.09,2/12/18,13,205,0,0,0,218
E11,Open,1,1.09,2/12/18,16,214,0,0,0,230
E12,Open,1,1.09,2/12/18,7,135,0,0,0,142
E13,Open,1,1.09,2/12/18,5,189,0,0,0,194
E14,Caged,1,1.09,2/12/18,14,197,0,0,0,211
E15,Open,1,1.09,2/12/18,14,216,0,0,0,230
E16,Open,1,1.09,2/12/18,17,176,0,0,0,193
E17,Open,1,1.09,2/12/18,7,90,1,0,0,98
E18,Caged,1,1.09,2/12/18,9,158,0,0,0,167
