ID,Geno,SizeRE,Genotype,PotPlug,Density,Chamber,Tray,Season,MatFr,ImmFr,Flowers,BasBr,PrimBr,TotBr,Height,FailedFr,LeafNum,Diam,Leaves dead when measured (Y= yes),SizeOrig
213,K,Big,E16_06,Pot,Low,R20B,1,Early,0,0,NA,1,0,1,6,0,55,65.04,NA,Small
108,H,Big,E16_07,Pot,High,R25B,1,Early,0,0,NA,1,0,1,63,0,34,43.68,NA,Big
89,J,Big,E16_19,Pot,Low,R24T,1,Early,0,0,NA,1,0,1,68,0,43,77.3,NA,Big
52,B,Small,E16_T1_26,Plug,High,R24B,2,Early,0,1,NA,1,0,1,11,0,6,3.83,NA,Big
194,K,Big,E16_06,Pot,High,R21T,2,Early,0,1,NA,1,0,1,93,0,46,45.78,NA,Small
103,H,Big,E16_07,Pot,High,R23T,2,Early,0,1,NA,1,0,1,157,0,27,68.88,NA,Big
129,C,Small,E03_04,Pot,High,R23T,1,Early,0,2,NA,1,0,1,46,0,14,20.27,NA,Big
197,K,Big,E16_06,Pot,High,R24B,2,Early,0,2,NA,1,0,1,148,0,37,41.17,NA,Small
77,J,Big,E16_19,Pot,High,R24B,1,Early,0,3,NA,1,0,1,54,1,30,44.31,NA,Big
169,D,Small,E03_T1_35,Plug,High,R21T,1,Early,0,3,NA,1,0,1,119,0,20,28,NA,Small
244,L,Big,E16_23,Pot,High,R24B,2,Early,0,4,NA,1,0,1,113,0,41,47.41,NA,Small
30,E,Small,E16_T1_30,Plug,High,R24B,1,Early,0,5,NA,1,0,1,76,0,20,26.28,NA,Big
210,K,Big,E16_06,Pot,Low,R24T,2,Early,0,5,NA,1,4,5,245,0,69,68.39,NA,Small
78,J,Big,E16_19,Pot,High,R24B,2,Early,0,6,NA,1,0,1,8,0,27,34.46,NA,Big
124,C,Small,E03_04,Pot,High,R24B,1,Early,0,6,NA,1,0,1,111,0,17,25.92,NA,Big
230,G,Big,E16_04,Pot,Low,R21B,1,Early,0,6,NA,1,5,6,234,2,53,65.61,NA,Small
241,L,Big,E16_23,Pot,High,R21T,2,Early,0,7,NA,1,0,1,178,1,42,48.17,NA,Small
82,J,Big,E16_19,Pot,High,R25B,2,Early,0,9,NA,1,0,1,158,0,29,29.52,NA,Big
193,K,Big,E16_06,Pot,High,R21T,1,Early,0,9,NA,1,1,2,196,1,46,54.07,NA,Small
207,K,Big,E16_06,Pot,Low,R21B,2,Early,0,10,NA,1,4,5,259,0,55,57.65,NA,Small
235,G,Big,E16_04,Pot,Low,R20B,2,Early,0,10,NA,1,5,6,223,0,49,83.99,NA,Small
271,F,Small,E03_06,Pot,High,R23T,1,Early,0,11,NA,1,0,1,114,0,26,38.68,NA,Small
25,E,Small,E16_T1_30,Plug,High,R21T,1,Early,0,11,NA,1,0,1,133,0,29,45.66,NA,Big
5,I,Big,E16_20,Pot,High,R24B,2,Early,0,13,NA,1,0,1,163,0,48,59.16,NA,Big
22,I,Big,E16_20,Pot,Low,R25T,1,Early,0,13,NA,1,7,8,148,2,48,82.39,NA,Big
84,J,Big,E16_19,Pot,High,R25B,2,Early,0,14,NA,1,0,1,159,0,34,33.85,NA,Big
201,K,Big,E16_06,Pot,High,R23T,2,Early,0,15,NA,1,0,1,211,0,31,40.41,NA,Small
233,G,Big,E16_04,Pot,Low,R24T,2,Early,0,15,NA,1,7,8,243,0,56,88.05,NA,Small
113,H,Big,E16_07,Pot,Low,R24T,1,Early,0,16,NA,1,5,6,409,1,52,74.84,NA,Big
27,E,Small,E16_T1_30,Plug,High,R21T,2,Early,0,17,NA,1,0,1,20,0,34,60.02,NA,Big
268,F,Small,E03_06,Pot,High,R24B,2,Early,0,19,NA,1,0,1,173,0,26,41.24,NA,Small
114,H,Big,E16_07,Pot,Low,R24T,2,Early,0,20,NA,1,3,4,408,0,50,74.44,NA,Big
229,G,Big,E16_04,Pot,Low,R21B,1,Early,0,20,NA,1,6,7,297,1,56,79.2,NA,Small
171,D,Small,E03_T1_35,Plug,High,R21T,2,Early,0,22,NA,1,0,1,245,0,25,53.75,NA,Small
110,H,Big,E16_07,Pot,Low,R21B,2,Early,0,22,NA,1,3,4,423,0,52,55.76,NA,Big
254,L,Big,E16_23,Pot,Low,R21B,2,Early,0,22,NA,1,4,5,263,1,58,73.57,NA,Small
112,H,Big,E16_07,Pot,Low,R24T,1,Early,0,22,NA,1,6,7,434,1,56,87.52,NA,Big
119,H,Big,E16_07,Pot,Low,R25T,1,Early,0,22,NA,1,7,8,416,0,52,97.2,NA,Big
28,E,Small,E16_T1_30,Plug,High,R24B,2,Early,0,23,NA,1,0,1,221,0,27,41.24,NA,Big
3,I,Big,E16_20,Pot,High,R21T,2,Early,0,23,NA,1,3,4,261,1,38,69.56,NA,Big
109,H,Big,E16_07,Pot,Low,R21B,1,Early,0,23,NA,1,4,5,436,1,48,71.53,NA,Big
236,G,Big,E16_04,Pot,Low,R20B,2,Early,0,25,NA,1,7,8,288,0,53,74.47,NA,Small
19,I,Big,E16_20,Pot,Low,R20B,1,Early,0,27,NA,1,5,6,143,0,35,85.81,NA,Big
212,K,Big,E16_06,Pot,Low,R20B,2,Early,0,27,NA,1,5,6,334,0,51,72.92,NA,Small
206,K,Big,E16_06,Pot,Low,R21B,2,Early,0,29,NA,1,4,5,289,1,53,56.48,NA,Small
111,H,Big,E16_07,Pot,Low,R21B,2,Early,0,30,NA,1,4,5,432,0,48,79.19,NA,Big
116,H,Big,E16_07,Pot,Low,R20B,2,Early,0,31,NA,1,5,6,461,0,75,87.6,NA,Big
117,H,Big,E16_07,Pot,Low,R20B,2,Early,0,31,NA,1,7,8,355,0,60,82.52,NA,Big
94,J,Big,E16_19,Pot,Low,R25T,2,Early,0,32,NA,1,9,10,367,0,49,88.48,NA,Big
265,F,Small,E03_06,Pot,High,R21T,2,Early,0,34,NA,1,1,2,284,0,40,74.84,NA,Small
125,C,Small,E03_04,Pot,High,R24B,2,Early,0,36,NA,1,4,5,274,0,22,52.44,NA,Big
26,E,Small,E16_T1_30,Plug,High,R21T,2,Early,0,38,NA,1,2,3,334,2,38,71.86,NA,Big
261,L,Big,E16_23,Pot,Low,R20B,2,Early,0,38,NA,1,7,8,337,1,51,84.69,NA,Small
23,I,Big,E16_20,Pot,Low,R25T,2,Early,0,38,NA,1,9,10,291,2,54,86.31,NA,Big
216,K,Big,E16_06,Pot,Low,R25T,1,Early,0,39,NA,1,6,7,345,1,59,87.55,NA,Small
255,L,Big,E16_23,Pot,Low,R21B,2,Early,0,39,NA,1,6,7,348,4,50,66.8,NA,Small
208,K,Big,E16_06,Pot,Low,R24T,2,Early,0,43,NA,1,7,8,337,2,53,90.42,NA,Small
260,L,Big,E16_23,Pot,Low,R20B,2,Early,0,44,NA,1,6,7,281,0,51,76.27,NA,Small
120,H,Big,E16_07,Pot,Low,R25T,1,Early,0,45,NA,2,7,19,519,0,50,95.5,NA,Big
118,H,Big,E16_07,Pot,Low,R25T,1,Early,0,47,NA,1,7,21,491,0,51,90.81,NA,Big
38,E,Small,E16_T1_30,Plug,Low,R21B,1,Early,0,49,NA,1,5,6,316,2,39,89.79,NA,Big
