ID,Season,Height
1,Early,37.2
1,Late,37.2
2,Early,NA
2,Late,NA
3,Early,26.1
3,Late,39.1
4,Early,NA
4,Late,19.7
5,Early,16.3
5,Late,29
6,Early,NA
6,Late,NA
7,Early,NA
7,Late,31.5
8,Early,NA
8,Late,21.1
9,Early,NA
9,Late,31.3
10,Early,NA
10,Late,12.1
11,Early,NA
11,Late,22
12,Early,NA
12,Late,15.6
13,Early,NA
13,Late,35.2
14,Early,NA
14,Late,21.7
15,Early,NA
15,Late,2.9
16,Early,NA
16,Late,43
17,Early,46.1
17,Late,52.4
18,Early,38.6
18,Late,44.5
19,Early,14.3
19,Late,22
20,Early,33.7
20,Late,42.2
21,Early,38.8
21,Late,46.8
22,Early,14.8
22,Late,17.1
23,Early,29.1
23,Late,43.7
24,Early,33.5
24,Late,32.8
25,Early,13.3
25,Late,25
26,Early,33.4
26,Late,45.4
27,Early,20
27,Late,38.1
28,Early,22.1
28,Late,22.4
29,Early,28.6
29,Late,31.6
30,Early,7.6
30,Late,7.6
31,Early,20.9
31,Late,28.3
32,Early,19.8
32,Late,22.4
33,Early,24.3
33,Late,29.5
34,Early,11.8
34,Late,12.6
35,Early,22
35,Late,23.9
36,Early,25.8
36,Late,25.8
37,Early,39.3
37,Late,40.4
38,Early,31.6
38,Late,38.8
39,Early,38.2
39,Late,41.7
40,Early,40.9
40,Late,43.1
41,Early,42.9
41,Late,44.1
42,Early,41.9
42,Late,45.1
43,Early,50
43,Late,55.9
44,Early,62.5
44,Late,55.4
45,Early,47.4
45,Late,51.9
46,Early,35.9
46,Late,39.4
47,Early,41.9
47,Late,46.9
48,Early,36.8
48,Late,38.6
49,Early,NA
49,Late,NA
50,Early,NA
50,Late,NA
51,Early,NA
51,Late,3.4
52,Early,1.1
52,Late,1.8
53,Early,11.3
53,Late,11.5
54,Early,24.4
54,Late,24.6
55,Early,10.3
55,Late,10.2
56,Early,19.7
56,Late,19.5
57,Early,17.1
57,Late,17.1
58,Early,18.9
58,Late,19
59,Early,19.2
59,Late,19.2
60,Early,12.1
60,Late,12.4
61,Early,29.4
61,Late,29.6
62,Early,27.3
62,Late,27.3
63,Early,34.1
63,Late,39
64,Early,NA
64,Late,NA
65,Early,31.2
65,Late,31.6
66,Early,30
66,Late,29.8
67,Early,29.6
67,Late,30.3
68,Early,26.8
68,Late,27.8
69,Early,28.6
69,Late,28.7
70,Early,25.9
70,Late,26.7
71,Early,32.7
71,Late,32.8
72,Early,33.4
72,Late,32.5
73,Early,NA
73,Late,0.1
74,Early,NA
74,Late,NA
75,Early,31.6
75,Late,32.2
76,Early,NA
76,Late,NA
77,Early,5.4
77,Late,11.9
78,Early,8
78,Late,12.7
79,Early,21.1
79,Late,27.5
80,Early,26.4
80,Late,33.4
81,Early,20.2
81,Late,23
82,Early,15.8
82,Late,20.4
83,Early,19.4
83,Late,21.2
84,Early,15.9
84,Late,20.8
85,Early,46.8
85,Late,50.1
86,Early,41.3
86,Late,47
87,Early,35.5
87,Late,41
88,Early,41.5
88,Late,45.8
89,Early,6.8
89,Late,39.7
90,Early,36.4
90,Late,45.6
91,Early,37.8
91,Late,36.6
92,Early,47.3
92,Late,24.5
93,Early,52.9
93,Late,59
94,Early,36.7
94,Late,45.1
95,Early,39.2
95,Late,34.5
96,Early,45.2
96,Late,46.5
97,Early,NA
97,Late,17.9
98,Early,NA
98,Late,40.8
99,Early,NA
99,Late,0.7
100,Early,NA
100,Late,12.3
101,Early,NA
101,Late,28.4
102,Early,NA
102,Late,21.8
103,Early,15.7
103,Late,48
104,Early,NA
104,Late,4.4
105,Early,NA
105,Late,46.3
106,Early,NA
106,Late,48.3
107,Early,NA
107,Late,31.5
108,Early,6.3
108,Late,31.7
109,Early,43.6
109,Late,73.5
110,Early,42.3
110,Late,61.5
111,Early,43.2
111,Late,66
112,Early,43.4
112,Late,61.7
113,Early,40.9
113,Late,59.9
114,Early,40.8
114,Late,58.8
115,Early,NA
115,Late,46.5
116,Early,46.1
116,Late,65.7
117,Early,35.5
117,Late,48.1
118,Early,49.1
118,Late,69.9
119,Early,41.6
119,Late,57.2
120,Early,51.9
120,Late,64.1
121,Early,32.2
121,Late,32.5
122,Early,26.3
122,Late,26.3
123,Early,25.4
123,Late,25.3
124,Early,11.1
124,Late,11.1
125,Early,27.4
125,Late,27.1
126,Early,23.4
126,Late,23.7
127,Early,25.9
127,Late,25.7
128,Early,22.1
128,Late,21.9
129,Early,4.6
129,Late,4.9
130,Early,15.3
130,Late,15.4
131,Early,21
131,Late,20.8
132,Early,24
132,Late,23.5
133,Early,26.6
133,Late,26
134,Early,39.9
134,Late,40.1
135,Early,32.5
135,Late,32.7
136,Early,38.4
136,Late,38.9
137,Early,36.4
137,Late,36.6
138,Early,41.1
138,Late,41.4
139,Early,32.6
139,Late,33.1
140,Early,38.5
140,Late,38.9
141,Early,18.4
141,Late,17.5
142,Early,36.6
142,Late,46.4
143,Early,NA
143,Late,NA
144,Early,39.4
144,Late,39
145,Early,NA
145,Late,NA
146,Early,22.7
146,Late,22.7
147,Early,NA
147,Late,3.5
148,Early,16.2
148,Late,16
149,Early,17.9
149,Late,18
150,Early,35.3
150,Late,35.7
151,Early,33.1
151,Late,33.4
152,Early,29
152,Late,28.8
153,Early,23.9
153,Late,24.4
154,Early,26
154,Late,26.3
155,Early,18.2
155,Late,18.2
156,Early,25.7
156,Late,25.6
157,Early,35.7
157,Late,45.5
158,Early,37.7
158,Late,38.1
159,Early,40.2
159,Late,42.5
160,Early,44.9
160,Late,46.1
161,Early,40.5
161,Late,40.9
162,Early,46.4
162,Late,46.5
163,Early,48.1
163,Late,47.9
164,Early,40.4
164,Late,40.7
165,Early,45.9
165,Late,46.2
166,Early,39.6
166,Late,39.3
167,Early,45.9
167,Late,45.8
168,Early,46
168,Late,45.6
169,Early,11.9
169,Late,14.6
170,Early,33.6
170,Late,34
171,Early,24.5
171,Late,24.8
172,Early,21.2
172,Late,21.5
173,Early,22.6
173,Late,22.6
174,Early,20.1
174,Late,20.6
175,Early,38.4
175,Late,39.2
176,Early,32
176,Late,32.4
177,Early,28.9
177,Late,28.6
178,Early,19.1
178,Late,19.4
179,Early,19.9
179,Late,19.9
180,Early,25.7
180,Late,26.3
181,Early,36.6
181,Late,36.6
182,Early,43.9
182,Late,44.1
183,Early,37.6
183,Late,36.8
184,Early,45.5
184,Late,45
185,Early,44.4
185,Late,44.9
186,Early,43.7
186,Late,45.2
187,Early,46.7
187,Late,47.2
188,Early,48.2
188,Late,48.6
189,Early,47.1
189,Late,47.1
190,Early,35.5
190,Late,35.4
191,Early,25.7
191,Late,24.9
192,Early,37.4
192,Late,37.6
193,Early,19.6
193,Late,38.2
194,Early,9.3
194,Late,40.8
195,Early,NA
195,Late,28.3
196,Early,NA
196,Late,31.8
197,Early,14.8
197,Late,29.6
198,Early,NA
198,Late,4.6
199,Early,NA
199,Late,23.3
200,Early,NA
200,Late,29.3
201,Early,21.1
201,Late,32.5
202,Early,NA
202,Late,25.9
203,Early,NA
203,Late,28.6
204,Early,NA
204,Late,23.2
205,Early,42.9
205,Late,48.1
206,Early,28.9
206,Late,35.5
207,Early,25.9
207,Late,37.5
208,Early,33.7
208,Late,44.1
209,Early,36.3
209,Late,43.1
210,Early,24.5
210,Late,41.1
211,Early,37.1
211,Late,41
212,Early,33.4
212,Late,31.6
213,Early,6
213,Late,9
214,Early,24.2
214,Late,24
215,Early,36
215,Late,38
216,Early,34.5
216,Late,43.2
217,Early,NA
217,Late,8.3
218,Early,NA
218,Late,16.5
219,Early,NA
219,Late,0.4
220,Early,NA
220,Late,17.5
221,Early,NA
221,Late,5.1
222,Early,NA
222,Late,7.1
223,Early,NA
223,Late,32.1
224,Early,NA
224,Late,20.1
225,Early,NA
225,Late,32.4
226,Early,NA
226,Late,27.3
227,Early,NA
227,Late,11.6
228,Early,NA
228,Late,18.9
229,Early,29.7
229,Late,41.1
230,Early,23.4
230,Late,39.6
231,Early,36.8
231,Late,40.8
232,Early,NA
232,Late,NA
233,Early,24.3
233,Late,36
234,Early,37.6
234,Late,44.9
235,Early,22.3
235,Late,42.2
236,Early,28.8
236,Late,34.8
237,Early,37.8
237,Late,43.6
238,Early,33.4
238,Late,34.9
239,Early,37.3
239,Late,38.4
240,Early,37.7
240,Late,40.1
241,Early,17.8
241,Late,35.2
242,Early,NA
242,Late,NA
243,Early,NA
243,Late,26.6
244,Early,11.3
244,Late,25.7
245,Early,NA
245,Late,23.6
246,Early,NA
246,Late,14.3
247,Early,NA
247,Late,22.4
248,Early,NA
248,Late,21.8
249,Early,NA
249,Late,34.1
250,Early,NA
250,Late,NA
251,Early,NA
251,Late,21.6
252,Early,NA
252,Late,1.9
253,Early,38.7
253,Late,41.1
254,Early,26.3
254,Late,37
255,Early,34.8
255,Late,37.4
256,Early,34
256,Late,37.5
257,Early,36.8
257,Late,41.7
258,Early,35.3
258,Late,38.2
259,Early,41.4
259,Late,43.5
260,Early,28.1
260,Late,39
261,Early,33.7
261,Late,41.7
262,Early,39.7
262,Late,42.3
263,Early,37.4
263,Late,40.6
264,Early,39.7
264,Late,46.3
265,Early,28.4
265,Late,44.3
266,Early,38.3
266,Late,41.2
267,Early,36.8
267,Late,43.3
268,Early,17.3
268,Late,20
269,Early,20.7
269,Late,24
270,Early,17.7
270,Late,29.1
271,Early,11.4
271,Late,22.7
272,Early,17.2
272,Late,20.7
273,Early,23.3
273,Late,24.8
274,Early,25.7
274,Late,28.5
275,Early,24.7
275,Late,26.1
276,Early,27
276,Late,35.6
277,Early,36.8
277,Late,44.4
278,Early,41.9
278,Late,48.5
279,Early,44.4
279,Late,47.6
280,Early,44
280,Late,47.4
281,Early,44.4
281,Late,51.6
282,Early,45.3
282,Late,47.1
283,Early,42.3
283,Late,46.5
284,Early,38.6
284,Late,42.7
285,Early,46.9
285,Late,48.9
286,Early,45.1
286,Late,50
287,Early,36.8
287,Late,39.5
288,Early,45
288,Late,47.1
